## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.subtema,entity.assuntos,entity.tiposolucao,entity.perfilusuario,entity.porteempresa,entity.segmentos,entity.familia,entity.produtor,entity.publicoalvo
11,Inclusão produtiva via empreendedorismo,Empreendedorismo, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/35542.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/9b24071e9cb71ce88d64a0c2d6bfab89/$File/35542.pdf,Conteúdos, ,Sim,Ideias e Tendências de Negócios,Empreendedorismo,E-book,Quero Empreender,PF,TODOS,Comece,Sebrae Nacional,PF
12,SXSW 2025 : O que esperar do futuro da tecnologia,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/bc9f5983-57e1-3304-889a-59952cd3da80.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/df1e71b73ad71379474a2035f5e25814/$File/35474.pdf,Conteúdos, ,Sim,Transformação Digital,Tendências; Inovação,E-book,Sou Empreendedor,EPP,TODOS,Faça,IFood,EPP
13,Descarbonização e Investimentos Verdes,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/35439.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/4f7edf7d2c05af8b52eaf48613d17418/$File/CongressoMercadoGlobaldeCarbono%2035439.pdf,Conteúdos, ,Sim,Sustentabilidade,"Carbono, Clima",E-book,Sou Empreendedor,EPP,TODOS,Faça,Sebrae RJ,EPP
14,Potencialidades em biogás,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/9d0f3aa0-b0e0-392d-9438-7f8857d34254.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/89dd885d6a4febfea8882aa8c5bb7331/$File/InfogrficoPotencialidadesdoBiogsv212023%2035437.pdf,Conteúdos, ,Sim,Sustentabilidade,Biogás,Infográfico,Sou Empreendedor,EPP,Energia,Faça,Sebrae Nacional,EPP
15,Fluência em Dados e IA,Inovação, ,https://i.scdn.co/image/ab6765630000ba8aa1e9493f815c3da4d2aa2aec,0,https://open.spotify.com/episode/3qfMYOmXMfsRPQ0WdvTbBE,Conteúdos, ,Sim,Transformação Digital,Dados; Inteligência Artificial; IA,Áudio,Quero Empreender,PF,TODOS,Comece,Sebrae Alagoas,PF
16,Desvendando o futuro do trabalho,Empreendedorismo, ,https://i.scdn.co/image/ab6765630000ba8abdb616347dfbc399181899ad,0,https://open.spotify.com/episode/0qt4MXdUHewJahJp2M4AC7,Conteúdos, ,Sim,Educação Empreendedora,Futurismo,Áudio,Quero Empreender,PF,TODOS,Comece,Sebrae Alagoas,PF
17,Futurismo e novas tecnologias,Inovação, ,https://i.scdn.co/image/ab6765630000ba8aef0ddc7522948a237cfadb6b,0,https://open.spotify.com/episode/30ieAXLu2CspTD5TVy2eJv,Conteúdos, ,Sim,Transformação Digital,"Futurismo, Novas Tecnologias",Áudio,Quero Empreender,PF,TODOS,Comece,Sebrae Alagoas,PF
18,O Futuro do Agronegócio,Planejamento, ,https://i.scdn.co/image/ab6765630000ba8a7615745e41b566d5e95a172d,0,https://open.spotify.com/episode/2E4ilkgRssXY2MuSOU3Qgg,Conteúdos, ,Sim,Planejamento Estratégico,Agro,Áudio,Sou Empreendedor,ME,Agricultura,Faça,Sebrae Alagoas,ME
19,Conheça 5 ferramentas para digitalizar a sua operação,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/873b5814-dd60-39be-babb-3469029dc3f4.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/conheca-5-ferramentas-para-digitalizar-a-sua-operacao,d2fabd1a10597810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Transformação Digital,Digital,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
20,Como emitir e pagar a guia DAS-MEI,Leis, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/8506e2e7-f82b-30f8-81c6-267fb0b9f95b.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/como-emitir-e-pagar-a-guia-das-mei,f59c66691a847810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Legislação do MEI,DasMEI,Artigo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
21,Como saber qual enquadramento tributário ideal para a minha empresa,Leis, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/b518974e-2a24-3428-891a-d1eb316901f3.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/como-saber-qual-o-enquadramento-tributario-para-minha-empresa,2ae2ace85e4ef510VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Impostos e tributação no SIMPLES,Enquadramento; Tributos,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,MEI
22,Como vender melhor em marketplaces?,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/e46c28f2-6b89-3859-ad09-67b82e4b1a3c.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/como-vender-melhor-em-marketplaces,50dfe1c24b822710VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Vendas,Marketplace; Venda,Artigo,Sou Empreendedor,ME,TODOS,Alcance,Sebrae Nacional,ME
23,Confira dicas práticas e estratégicas para o Instagram,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/c54ca65e-ec3e-3846-9a0f-2699ef268860.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/dicas-praticas-para-o-instagram,ec92d8d523ab3710VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento estratégico de marketing,Instagram,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
24,Planejamento estratégico: o que é e como fazer para sua empresa,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/c742096c-3f3d-356d-99a2-aef48b78347b.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/planejamento-estrategico-o-que-e-e-como-fazer-para-sua-empresa,eb17af9d324bb810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento estratégico de marketing,Planejamento; Organização,Artigo,Sou Empreendedor,EPP,TODOS,Alcance,Sebrae Nacional,EPP
25,Empreender com vigor: domine as contas do seu negócio MEI,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/e26416ac-2a8b-32fe-b5b0-b1c9d84e680f.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/empreender-com-vigor-domine-as-contas-do-seu-negocio-mei,f91ff9565578f810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Controles Financeiros,Finanças,Artigo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
26,Macrotendências 2023-2024: Beleza e Bem-estar,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/35356.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/55aabdc6df112987b133e97e5cc40410/$File/BelezaeBemestarVFinal%2035356.pdf,Conteúdos, ,Sim,Pesquisa de mercado,Tendências; Breleza,Artigo,Sou Empreendedor,ME,Beleza,Alcance,Sebrae Nacional,MEI
27,Descubra como administrar um salão de beleza com eficiência,Organização, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/d27304f0-df26-37fb-830a-1baf60b1a90e.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/pe/artigos/descubra-como-administrar-um-salao-de-beleza-com-eficiencia,79b8b39cba395710VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Gestão da qualidade,Administração,Artigo,Sou Empreendedor,ME,Beleza,Faça,Sebrae Nacional,ME
28,Diversidade na beleza impulsiona o mercado e incentiva novos produtos,Pessoas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/d4551553-3a6d-3e02-9283-5afe1f770273.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/diversidade-na-beleza-impulsiona-o-mercado-e-incentiva-novos-produtos,e05461edc2f34810VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Trabalho em Equipe,Beleza; Diversidade,Artigo,Sou Empreendedor,MEI,Beleza,Comece,Sebrae Nacional,ME
29,Roteiros MEI: serviços de beleza,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/capas/32239.jpg,0,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/bds/bds.nsf/562457a44ac9ea4c0b422ce2d0a0cc8e/$File/32239.pdf,Conteúdos, ,Sim,Inteligência de mercado,Beleza; Roteiros,E-book,Sou Empreendedor,MEI,Beleza,Faça,Sebrae Nacional,MEI
30,Uma boa fachada para seu salão de beleza,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/c0044315-3b26-3aea-8bdf-ac156105b16b.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/uma-boa-fachada-para-seu-salao-de-beleza,2566ba6f37f86810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Ponto Comercial,Vitrine; Ponto de Venda,Artigo,Sou Empreendedor,MEI,Beleza,Faça,Sebrae Nacional,ME
31,Salão de beleza atrai clientes com marketing digital,Inovação, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/bcf517bf-628f-3711-8816-1b2f70ddbb02.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/salao-de-beleza-atrai-clientes-com-marketing-digital,3d95daf517f76810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Relacionamentos com cliente - CRM,Relacionamento,Artigo,Sou Empreendedor,EPP,Beleza,Alcance,Sebrae Nacional,EPP
32,Saiba mais sobre o mercado pet,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/accd3463-c351-3a90-a977-4be89a4b4aa3.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/saiba-mais-sobre-o-mercado-pet,491716ba3f862810VgnVCM100000d701210aRCRD?utm_source=appna",Conteúdos, ,Sim,Inteligência de mercado,Tendência,Artigo,Sou Empreendedor,ME,Pet,Faça,Sebrae Nacional,ME
33,Planejamento na agricultura familiar como diminuir riscos de produção,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/f3a733ff-ba77-35db-b878-9a65aeb3ecd9.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/planejamento-na-agricultura-familiar-como-diminuir-riscos-de-producao,f4e0f087c7c0f510VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Planejamento Estratégico,Agricultura Familiar,Artigo,Sou Empreendedor,MEI,Agricultura,Comece,Sebrae Nacional,MEI
34,MEI precisa de Inscrição Estadual?,Leis, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/e5e0fc0d-0020-3d92-a8bd-cd8db5a6cfdd.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/artigos/mei-precisa-de-inscricao-estadual,44687a3a415f5810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Legislação do MEI,MEI; Documentos,Artigo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae Nacional,MEI
35,Saiba como emitir seu comprovante de CNPJ,Leis, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/b39010b9-fcb0-3b9b-a711-ecc00428c063.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/emitir-comprovante-de-situacao-cadastral-no-cnpj,866204f99f103610VgnVCM1000004c00210aRCRD?utm_source=appna",Conteúdos, ,Sim,Abertura e legalização de empresas,CNPJ; Documentos,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
36,Be a Bá do MEI,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/1ebecfc2-5f10-383b-8e28-bd7423ed920a.jpg,0,https://www.youtube.com/watch?v=OyH968m7a9g,Conteúdos, ,Sim,Planejamento Estratégico,Conhecimento,Vídeo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae Nacional,MEI
37,Canvas para o MEI,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/7277e93a-b523-3a13-bffa-e3b6a366ef6f.jpg,0,https://www.youtube.com/live/ixDriiq4-HM?feature=share,Conteúdos, ,Sim,Plano de Negócio,Canvas; Modelagem,Vídeo,Sou Empreendedor,MEI,TODOS,Comece,Sebrae Nacional,MEI
38,Capital de Giro - Finanças para negócios,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/615d019c-ef68-384e-9a38-ae7816771548.jpg,0,https://www.youtube.com/watch?v=79OcVDBAJyI,Conteúdos, ,Sim,Controles Financeiros,Capital; Dinheiro,Vídeo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
39,Preço de venda - Finanças para negócios,Mercado e Vendas, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/d8232906-f481-3a6d-9b2b-a0e310375046.jpg,0,https://www.youtube.com/watch?v=sozt9yvdQ1g,Conteúdos, ,Sim,Preço,Preço; Valor,Vídeo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
40,Gestão de Atividades Agropecuárias,Planejamento, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/0c73e6be-3f02-3774-aab7-3861124f107e.jpg,0,https://www.youtube.com/watch?v=fUARCa9dN0I&list=PL-LlsiT-1bb8PNVhtkB34IH0AHzGZiv5l,Conteúdos, ,Sim,Planejamento Estratégico,Gestão,Vídeo,Sou Empreendedor,ME,Pecuária,Faça,Sebrae Nacional,ME
41,Programa Microfinanças,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/a720488b-a8e8-3bc8-9586-f166bebeef9e.jpg,0,https://www.youtube.com/watch?v=-fJRtxZYAn8,Conteúdos, ,Sim,Gestão Financeira,Microfinanças,Vídeo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
42,MEI: Como manter as finanças e as contas sempre em dia?,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/74b52a37-31b7-37a3-a448-0f43cbbb1f79.jpg,0,https://www.youtube.com/watch?v=E2YrvSz0HKc&list=PL-LlsiT-1bb9d-XO2srhZXcb6pvuFPRMB&index=9,Conteúdos, ,Sim,Gestão Financeira,Planejamento; Organização,Vídeo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
43,MEI: sua empresa traz resultados financeiros?,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/bafe3576-4b71-3951-ae85-372420d5db0b.jpg,0,https://www.youtube.com/watch?v=pRZjWU_QYwo&list=PL-LlsiT-1bb9d-XO2srhZXcb6pvuFPRMB&index=8,Conteúdos, ,Sim,Controles Financeiros,Resultados; Lucro,Vídeo,Sou Empreendedor,MEI,TODOS,Faça,Sebrae Nacional,MEI
44,Fluxo de Caixa Passo a Passo - Aprenda com o Sebrae,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/191c4040-a82c-3d47-a983-c6843b8d0ef4.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/galeriavideo/fluxo-de-caixa-passo-a-passo-exercicio-pratico-aprenda-com-o-sebrae,8fed4e94a5e7b710VgnVCM100000d701210aRCRD",Conteúdos, ,Sim,Controles Financeiros,Fluxo de Caixa,Vídeo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
45,Microempresa e a importância do pós-crédito,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/15c1ee06-bdf1-3d22-a11a-f27df711bf6c.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/galeriavideo/aula-5-microempresa-e-a-importancia-do-pos-credito,ed914e94a5e7b710VgnVCM100000d701210aRCRD",Conteúdos, ,Sim,Controles Financeiros,Crédito,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
46,6 Dicas para Renegociar suas Contas,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/0dc86105-098b-3312-9d53-e5fc103745f9.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/galeriavideo/papo-rapido-6-dicas-para-renegociar-suas-contas,04524e94a5e7b710VgnVCM100000d701210aRCRD",Conteúdos, ,Sim,Controles Financeiros,Contas,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
47,Crédito sim. Qual o valor?,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/0fd1964a-6214-3ecb-9ae5-03e733177ece.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/galeriavideo/aula-1-credito-sim-qual-o-valor,d7114e94a5e7b710VgnVCM100000d701210aRCRD",Conteúdos, ,Sim,Controles Financeiros,Crédito,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
48,5 dicas para organizar o dinheiro do negócio,Finanças, ,https://bibliotecas.sebrae.com.br/chronus/ARQUIVOS_CHRONUS/NAPALMADAMAO/CAPAS_INDIVIDUAIS/edbc6826-5082-3237-9122-1bdad5ccd2dc.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/ufs/ms/videos/5-dicas-para-organizar-o-dinheiro-do-negocio,cf590a0ad2732510VgnVCM1000004c00210aRCRD",Conteúdos, ,Sim,Controles Financeiros,Dinheiro,Artigo,Sou Empreendedor,ME,TODOS,Faça,Sebrae Nacional,ME
49,Sebrae e ApexBrasil colocam exportação ao alcance da pequena empresa,Mercado e Vendas, ,https://sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/imagem_telegram_comunidades-sebrae-telegram.jpg,0,"https://sebrae.com.br/sites/PortalSebrae/sebrae-e-apexbrasil-colocam-exportacao-ao-alcance-da-pequena-empresa,16fade632fe07810VgnVCM1000001b00320aRCRD?utm_source=appna",Conteúdos, ,Sim,Exportação,Internacionalização,Artigo,Sou Empreendedor,EPP,TODOS,Alcance,Sebrae Nacional,EPP
50,Artesanato como Negócio,Planejamento, ,https://i.scdn.co/image/ab6765630000ba8a5c61076b8fcc3b7c142ce593,0,https://open.spotify.com/episode/05TjN0kSgTTDeRXi74V8YZ,Conteúdos, ,Sim,Plano de Negócio,Arte; Cultura,Áudio,Sou Empreendedor,MEI,Economia Criativa,Comece,Sebrae Nacional,MEI
